book #,book name,image (peg word),name sounds like,phonetic breakdown,story sentence,number → image,image → number,image → book,book → image
11,1 Kings,Dad,a crown (1 Kings),,First KINGS: Solomon's CROWN gleams — book 11 — as two royal TOTS are brought before the throne (tot = 11).,,,,
12,2 Kings,DNA,a crown again (2 Kings),,Second KINGS: a chariot of fire whisks Elijah up — book 12 — trailing rattling TIN cans (tin = 12).,,,,
13,1 Chronicles,Dime,a long scroll (1 Chronicles),,First CHRONICLES unrolls a long family scroll — book 13 — pinned with a shiny DIME (dime = 13).,,,,
14,2 Chronicles,Door,a scroll again (2 Chronicles),,Second CHRONICLES: the temple rises — book 14 — as workers roll great stones on a TIRE (tire = 14).,,,,
15,Ezra,Doll,a razor (Ezra),,"EZRA rebuilds the temple, precise as a RAZOR — book 15 — snapping a TOWEL to rally the workers (towel = 15).",,,,
16,Nehemiah,Tissue,a KNEE-HIGH wall MADE by Ya,Nehe=KNEE-HIGH | mi=MADE | ah=YA,NEHEMIAH rebuilds the wall knee-high overnight — book 16 — bricks stacked on a DISH (dish = 16).,,,,
17,Esther,Toga,a star (Esther),,"ESTHER means STAR — book 17 — the brave queen shines like a star, a DUCK tucked under her royal robe (duck = 17).",,,,
18,Job,TV,a job / hard work (Job),,JOB loses all yet keeps his JOB of faith — book 18 — a DOVE landing gently on his ash heap (dove = 18).,,,,
19,Psalms,Tuba,palms (Psalms),,PSALMS: hands lift in praise under swaying PALMS — book 19 — beside an overflowing TUB of song (tub = 19).,,,,
20,Proverbs,Nose,pro-HERBS (Proverbs),,PROVERBS: a wise sage sniffs fragrant HERBS of wisdom — book 20 — his large NOSE twitching (nose = 20).,,,,
21,Ecclesiastes,Net,a weary preacher (Ecclesiastes),,ECCLESIASTES: a tired preacher sighs 'all is vanity' — book 21 — casting a NET that comes up empty (net = 21).,,,,
22,Song of Solomon,Nun,a love song (Song of Solomon),,SONG OF SOLOMON: two lovers SING a duet — book 22 — while two NUNS smile at the wedding (nun = 22).,,,,
23,Isaiah,Nemo,a giant eye (Isaiah),,ISAIAH sees a vision — a giant EYE in the sky (I-saw-ya) — book 23 — with your NAME on the pupil (name = 23).,,,,
24,Jeremiah,Nero,a smashed jar (Jeremiah),,JEREMIAH the weeping prophet smashes a clay JAR — book 24 — as Nero-like flames rise over the city (Nero = 24).,,,,
25,Lamentations,Nail,bitter lemons (Lamentations),,LAMENTATIONS: the city weeps bitter as LEMONS — book 25 — each tear a NAIL in the heart (nail = 25).,,,,
26,Ezekiel,Nacho,a flaming wheel (Ezekiel),,EZEKIEL sees a flaming WHEEL within a wheel — book 26 — carving a NOTCH across the sky (notch = 26).,,,,
27,Daniel,Nike,a lion (Daniel),,DANIEL sits calm in the LIONS' den — book 27 — as a lion gently nuzzles his NECK (neck = 27).,,,,
28,Hosea,Knife,a garden hose (Hosea),,"HOSEA pursues his wandering bride with steadfast love, a garden HOSE — book 28 — coiling near a KNIFE (knife = 28).",,,,
29,Joel,Nap,a jewel (Joel),,JOEL warns of a locust swarm — book 29 — sweeping past a glittering JEWEL on a door KNOB (knob = 29).,,,,
30,Amos,Mouse,a shepherd (Amos),,AMOS the SHEPHERD is called from his flock to prophesy — book 30 — a MOUSE scurrying up his crook (mouse = 30).,,,,
31,Obadiah,Mat,a sealed decree (Obadiah),,OBADIAH proclaims Edom's judgment on a sealed decree — book 31 — nailed to a welcome MAT (mat = 31).,,,,
32,Jonah,Moon,a whale (Jonah),,JONAH is swallowed by a great WHALE — book 32 — then set on dry land under a huge MOON (moon = 32).,,,,
33,Micah,Mummy,a microphone (Micah),,MICAH lifts the MIC and proclaims justice — book 33 — his voice echoing past a MUMMY's tomb (mummy = 33).,,,,
34,Nahum,Mare,a warning hum (Nahum),,NAHUM hums a warning over Nineveh — book 34 — as a runaway MOWER levels the field (mower = 34).,,,,
35,Habakkuk,Molly,HAVE A COOK on an uphill climb,Ha=HAVE | bak=A | kuk=COOK,HABAKKUK brings hard questions to God and climbs to watch — book 35 — riding a steady MULE uphill (mule = 35).,,,,
36,Zephaniah,Match,a rushing wind (Zephaniah),,ZEPHANIAH warns the day of the Lord sweeps in like a WIND — book 36 — fanning a struck MATCH (match = 36).,,,,
37,Haggai,Mic,builders at work (Haggai),,"HAGGAI urges the people to rebuild the temple — book 37 — hauling timber, pausing over a coffee MUG (mug = 37).",,,,
38,Zechariah,Movie,night visions on a screen (Zechariah),,ZECHARIAH sees eight night visions — book 38 — playing across a glowing MOVIE screen (movie = 38).,,,,
39,Malachi,Map,a sealed letter (Malachi),,MALACHI means 'my messenger' — the last word before 400 silent years — book 39 — a sealed LETTER laid on a MAP (map = 39).,,,,
40,Matthew,Rose,a welcome mat (Matthew),,MATTHEW rolls out a welcome MAT for the King — book 40 — laid on a bed of ROSES (rose = 40).,"A gardener clips the number 40 into a hedge, and the whole hedge bursts at once into one enormous crimson ROSE.","Sound out RoSe: R is 4, S is 0 — RoSe reads 40.","A big welcome MAT stamped 'WELCOME ALL' lies at the door, and a single crimson ROSE grows straight up out of its center — the mat that welcomes everyone: MATTHEW.",Read MATTHEW and see a welcome MAT reading 'WELCOME ALL' with a crimson ROSE growing directly out of its center.
41,Mark,Radio,a marker (Mark),,MARK records the gospel swiftly with a bold MARKER — book 41 — underlined with a straight ROD (rod = 41).,An old wooden RADIO has a dial stuck on one number — 41 — and at 41 it roars to life at full volume.,"Sound out RaDio: R is 4, D is 1 — RaDio reads 41.","The RADIO's speaker bulges and a giant talking MARKER head pops out, booming 'Have you HEARD the Good News!' — MARK, the gospel that shouts the good news.","Read MARK, the gospel of the good news, and see a giant marker head burst out of a radio speaker announcing 'Have you Heard the Good News!'"
42,Luke,Rhino,'look closely' (Luke),,LUKE the physician says LOOK closely — book 42 — as healing RAIN falls on the sick (rain = 42).,A charging RHINO spears a road sign on its horn and thunders past — the sign reads 42.,"Sound out RhiNo: R is 4, N is 2 — RhiNo reads 42.","A RHINO charges full tilt, but LUKE SKYWALKER stands his ground, lightsaber blazing; as the beast closes he steps aside and strikes it clean into TWO halves: LUKE.","Read LUKE and see Luke Skywalker ignite his lightsaber at a charging rhino, sidestep at the last second, and slice the beast into two halves."
43,John,Rum,an eagle (John),,JOHN's gospel soars like its symbol the EAGLE — book 43 — 'God so loved the world' proclaimed from the upper ROOM (room = 43).,"Waves roll an old sealed cask of RUM onto the shore, and stamped deep in its lid is the number 43.","Sound out RuM: R is 4, M is 3 — RuM reads 43.","JOHN THE BAPTIST hauls up the full barrel of RUM, dumps every last drop onto the sand, refills it to the brim with clear river water, and baptises people right there in the barrel: JOHN.","Read JOHN and see John the Baptist empty a whole barrel of rum, fill it with water, and baptise people in the barrel."
44,Acts,Error,a great stage (Acts),,ACTS: the church bursts into ACTION on a great stage — book 44 — tongues of fire above two ROWERS pressing forward (rower = 44).,A giant rubber stamp slams down on the number 44 and leaves a huge red X — a big glaring ERROR mark.,"Sound out eRRoR: two R sounds, R is 4 and R is 4 — eRRoR reads 44.","A giant red X rubber stamp is slamming ERROR onto everything in sight until a mighty AXE swings down and splits the X clean up the middle, and the two halves flip into check marks as light blazes from heaven and Peter cries 'Repent!' The un-ERRORed crowd springs into ACTion: the AXE is ACTS.","On the set of ACTS a director yells 'ACTION!' and Peter marches out holding a huge red X rubber stamp, crossing out every sin on the crowd's long lists, stamp after stamp, until each ERROR is wiped away and the whole cast rushes off to spread the news."
45,Romans,Reel,a Roman soldier (Romans),,ROMANS: a ROMAN soldier carries the good news through the empire — book 45 — on a long scroll ROLL (roll = 45).,,,,
46,1 Corinthians,Arch,a marble column (1 Corinthians),,First CORINTHIANS: a tall marble COLUMN of the church is strained by quarrels — book 46 — a ROACH scuttling up it (roach = 46).,,,,
47,2 Corinthians,Rock,a column again (2 Corinthians),,"Second CORINTHIANS: Paul defends his ministry, firm as a COLUMN — book 47 — planted on solid ROCK (rock = 47).",,,,
48,Galatians,Roof,a galaxy (Galatians),,GALATIANS: freedom in Christ blazes across a whole GALAXY — book 48 — high over a red ROOF (roof = 48).,,,,
49,Ephesians,Harp,a soldier's armor (Ephesians),,EPHESIANS: put on the whole armor of God — book 49 — helmet and shield belted with a stout ROPE (rope = 49).,,,,
50,Philippians,Lasso,an overflowing cup (Philippians),,"PHILIPPIANS: joy overflows, FILLING UP the cup — book 50 — spilling over delicate LACE (lace = 50).",,,,
51,Colossians,Lid,a colossus (Colossians),,COLOSSIANS: Christ towers supreme like a COLOSSUS — book 51 — a beam of LIGHT blazing from his chest (light = 51).,,,,
52,1 Thessalonians,Lion,a trumpet in the salon (1 Thessalonians),,First THESSALONIANS: the Lord's return sounds like a trumpet mid-haircut in THE SALON — book 52 — a LION rising to meet Him (lion = 52).,,,,
53,2 Thessalonians,Limo,the salon again (2 Thessalonians),,"Second THESSALONIANS: keep working faithfully till He comes, back in THE SALON — book 53 — a fresh LIME in hand (lime = 53).",,,,
54,1 Timothy,Hillary,young Timothy (1 Timothy),,First TIMOTHY: young Tim shepherds the church against the clock — book 54 — casting a LURE of sound doctrine (lure = 54).,,,,
55,2 Timothy,LOL,the race finished (2 Timothy),,Second TIMOTHY: 'I have finished the race' — book 55 — a white LILY laid in Paul's prison cell (lily = 55).,,,,
56,Titus,Leech,a tight rein (Titus),,TITUS: keep the young church in good order on a TIGHT rein — book 56 — a firm LEASH of sound teaching (leash = 56).,,,,
57,Philemon,Leak,a lemon turned sweet (Philemon),,PHILEMON: forgive the returning servant — book 57 — a sour LEMON turned sweet on a floating LOG (log = 57).,,,,
58,Hebrews,Lava,"steam rising, He brews (Hebrews)",,HEBREWS: Christ is greater — steam rises as HE BREWS a fresh pot — book 58 — over glowing LAVA (lava = 58).,,,,
59,James,Lip,a jam jar (James),,"JAMES sounds like JAM — book 59 — faith without works is empty, so he fills a JAM jar with his own hands, sealing his LIP in resolve (lip = 59).",,,,
60,1 Peter,Cheese,the rock with keys (1 Peter),,"First PETER: you are living stones — book 60 — Peter the ROCK holds the keys, standing on a great wheel of CHEESE (cheese = 60).",,,,
61,2 Peter,Cheetah,the rock stands firm (2 Peter),,Second PETER warns against false teachers — book 61 — Peter the ROCK stands firm as a JET streaks past (jet = 61).,,,,
62,1 John,Genie,warm light of love (1 John),,First JOHN: 'God is love' glows warm — book 62 — a golden CHAIN of light linking believers (chain = 62).,,,,
63,2 John,Chime,a tiny letter (2 John),,"Second JOHN: walk in truth, a short letter — book 63 — a single flawless GEM in your palm (gem = 63).",,,,
64,3 John,Cherry,a third note (3 John),,Third JOHN: welcome the traveling brothers — book 64 — set a bowl of CHERRIES on the table (cherry = 64).,,,,
65,Jude,Chilli,a shield (Jude),,JUDE: contend for the faith — book 65 — raise a SHIELD against intruders and bar the JAIL door on falsehood (jail = 65).,,,,
66,Revelation,Judge,the curtain drawn back (Revelation),,"REVELATION: the curtain is drawn back, REVEALING the throne — book 66 — the righteous JUDGE brings the final verdict (judge = 66).",,,,
