number,sounds (reference),image (peg word),note / clarifier,decode hook (image → number)
110,t/d · t/d · s/z,Adidas,Adidas shoes,
111,t/d · t/d · t/d,Deadwood,Deadwood — a pile of dead logs,
112,t/d · t/d · n,Titan,,
113,t/d · t/d · m,Totem,,
114,t/d · t/d · r,Tutor,,
115,t/d · t/d · L,Doodle,,
116,t/d · t/d · j·sh·ch,Ditch,,
117,t/d · t/d · k·g,Hotdog,,
118,t/d · t/d · f·v,Dead fox,a dead fox,
119,t/d · t/d · p·b,Hot tub,,
120,t/d · n · s/z,Tennis,,
121,t/d · n · t/d,Tent,,
122,t/d · n · n,Tuna,,
123,t/d · n · m,Dynamite,,
124,t/d · n · r,Dinner,,
125,t/d · n · L,Tunnel,,
126,t/d · n · j·sh·ch,Tangerine,,
127,t/d · n · k·g,Tank,,
128,t/d · n · f·v,Tinfoil,,
129,t/d · n · p·b,Tenpin,,
130,t/d · m · s/z,Thames,,
131,t/d · m · t/d,Tomato,,
132,t/d · m · n,Diamond,,
133,t/d · m · m,Time machine,a time machine,
134,t/d · m · r,Timer,,
135,t/d · m · L,Oatmeal,,
136,t/d · m · j·sh·ch,Damage,,
137,t/d · m · k·g,Tomcat,,
138,t/d · m · f·v,The Movie,the movie,
139,t/d · m · p·b,Dumbo,Dumbo the elephant,
140,t/d · r · s/z,Dress,,
141,t/d · r · t/d,Dart,,
142,t/d · r · n,Drone,,
143,t/d · r · m,Tram,,
144,t/d · r · r,Dryer,,
145,t/d · r · L,Drill,,
146,t/d · r · j·sh·ch,Torch,,
147,t/d · r · k·g,Truck,,
148,t/d · r · f·v,Trophy,,
149,t/d · r · p·b,Drop,,
150,t/d · L · s/z,Tellus,"Tellus, the Roman earth goddess",
151,t/d · L · t/d,Toilet,,
152,t/d · L · n,Dylan,Bob Dylan,
153,t/d · L · m,Dilemma,a dilemma — a hard choice,
154,t/d · L · r,Tailor,,
155,t/d · L · L,Delilah,Delilah (Samson & Delilah),
156,t/d · L · j·sh·ch,Deluge,a deluge — a great flood,
157,t/d · L · k·g,Talc,talc — talcum powder,
158,t/d · L · f·v,Tea leaf,,
159,t/d · L · p·b,Tulip,,
160,t/d · j·sh·ch · s/z,Duchess,,
161,t/d · j·sh·ch · t/d,Hatchet,,
162,t/d · j·sh·ch · n,Audition,,
163,t/d · j·sh·ch · m,Taj Mahal,the Taj Mahal,
164,t/d · j·sh·ch · r,Teacher,,
165,t/d · j·sh·ch · L,Eat chilli,eating a hot chilli,
166,t/d · j·sh·ch · j·sh·ch,Dishwasher,,
167,t/d · j·sh·ch · k·g,Hitchhiker,,
168,t/d · j·sh·ch · f·v,Déjà vu,,
169,t/d · j·sh·ch · p·b,Douchebag,,
170,t/d · k·g · s/z,Tacos,,
171,t/d · k·g · t/d,Ticket,,
172,t/d · k·g · n,Toucan,,
173,t/d · k·g · m,Dogma,,
174,t/d · k·g · r,Tiger,,
175,t/d · k·g · L,Tackle,,
176,t/d · k·g · j·sh·ch,Head coach,,
